date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
11:35:47	229/229	---M-Z	200	added ('OK')	text/plain	date:Tue,%2023%20Apr%202024%2012:44:30%20GMT	https://drivania.com/robots.txt		(from )
11:35:47	60471/60471	---M-Z	200	added ('OK')	text/html	date:Sun,%2012%20Jan%202025%2006:35:54%20GMT	https://drivania.com/en/	C:/My%20Web%20Sites/drivania/drivania.com/en/index.html	(from )
11:35:48	100711/100711	---M--	200	added ('OK')	image/jpeg	date:Tue,%2015%20Oct%202024%2021:06:35%20GMT	https://drivania.com/wp-content/uploads/2024/07/discover-drivania-2-860x1860.jpg	C:/My%20Web%20Sites/drivania/drivania.com/wp-content/uploads/2024/07/discover-drivania-2-860x1860.jpg	(from https://drivania.com/en/)
11:35:48	45235/45235	---M--	200	added ('OK')	image/jpeg	date:Tue,%2015%20Oct%202024%2021:06:34%20GMT	https://drivania.com/wp-content/uploads/2024/07/discover-drivania-2-1024x768.jpg	C:/My%20Web%20Sites/drivania/drivania.com/wp-content/uploads/2024/07/discover-drivania-2-1024x768.jpg	(from https://drivania.com/en/)
11:35:49	1801/1801	---M--	200	added ('OK')	image/png	date:Sat,%2024%20Feb%202024%2011:59:58%20GMT	https://drivania.com/wp-content/themes/drivania/img/common/apple-touch-icon.png	C:/My%20Web%20Sites/drivania/drivania.com/wp-content/themes/drivania/img/common/apple-touch-icon.png	(from https://drivania.com/en/)
11:35:49	99823/99823	---M--	200	added ('OK')	image/jpeg	date:Tue,%2015%20Oct%202024%2021:06:33%20GMT	https://drivania.com/wp-content/uploads/2024/07/discover-drivania-2-1920x1080.jpg	C:/My%20Web%20Sites/drivania/drivania.com/wp-content/uploads/2024/07/discover-drivania-2-1920x1080.jpg	(from https://drivania.com/en/)
11:35:51	30829/30829	---M-Z	404	error ('Not%20Found')	text/html	date:Sun,%2012%20Jan%202025%2006:35:58%20GMT	https://drivania.com/wp-content/themes/drivania/img/common/favicon-32x32.png	C:/My%20Web%20Sites/drivania/drivania.com/wp-content/themes/drivania/img/common/favicon-32x32.png	(from https://drivania.com/en/)
11:35:52	30829/30829	---M-Z	404	error ('Not%20Found')	text/html	date:Sun,%2012%20Jan%202025%2006:35:59%20GMT	https://drivania.com/wp-content/themes/drivania/img/common/favicon-16x16.png	C:/My%20Web%20Sites/drivania/drivania.com/wp-content/themes/drivania/img/common/favicon-16x16.png	(from https://drivania.com/en/)
11:35:52	114444/114444	---MCZ	200	added ('OK')	text/css	date:Sun,%2012%20Jan%202025%2006:35:59%20GMT	https://drivania.com/wp-content/litespeed/css/b2371fded0d67630b686001181a246b6.css?ver=b91f6	C:/My%20Web%20Sites/drivania/drivania.com/wp-content/litespeed/css/b2371fded0d67630b686001181a246b67286.css	(from https://drivania.com/en/)
11:35:53	58839/58839	---MCZ	200	added ('OK')	text/css	date:Sun,%2012%20Jan%202025%2006:35:59%20GMT	https://drivania.com/wp-content/litespeed/css/c2ca275c8ed814c994f601c015dab805.css?ver=c087d	C:/My%20Web%20Sites/drivania/drivania.com/wp-content/litespeed/css/c2ca275c8ed814c994f601c015dab805b28f.css	(from https://drivania.com/en/)
